"Great case for keeping your Sennheiser Momentum True Wireless earphones original case protected!.

But you would need to move the strap that's in the case to the side like in the picture I added. This would stop that touching the button on the case, after I did this i had less battery drain for the case that I notice.

As when I had the strap in the middle I did notice once I did go to use them I had no battery at all? Eventho they was charged.

Great looking case but it is abit high priced, if you want your original case looking fresh then you would need this.",4.0 out of 5 stars
"Took me a while to figure out that this case was the reason that my Sennheiser ear buds were losing all their charge over night. The strap designed to extract the bud's charging case is placed in a position that ""presses"" the button in on the back of the bud's case and so dispelling the charge. I think you can adjust the strap such that this doesn't happen but it's a right faff!!! I now simply use it to store the charging lead so I don't lose it!!!!",2.0 out of 5 stars
"It’s a good outer shell and it will keep the Momentum TW charging case safe.
However I thought it was overpriced at £12.99 and now they’ve hiked the price up to £17.99.

At that price, I can’t recommend it at all.
I’ll rate it 5 for sturdiness, 1 for value for money and call it two stars overall.",2.0 out of 5 stars
The made & looks really ordinary . This item should not cost £14.99 in my own honest opinion maybe £4-5 only.,2.0 out of 5 stars
Great little case - perfect size and protection.,5.0 out of 5 stars
Excellent all round. Fit. Sound. Comfort. Ditched the Bose “roaches”. Not looked back. Superb,5.0 out of 5 stars
Good and not expensive,5.0 out of 5 stars
Excellent product,5.0 out of 5 stars
It is proving to be durable. It does the job well.,5.0 out of 5 stars
A little expensive but for a expensive pair of headphones It will protect charging case and keep it looking fresh...... so it’s worth the money in my opinion.,5.0 out of 5 stars
Absolute waste of money. Returned as soon as it arrived. Absolute tat.,1.0 out of 5 stars
"Acabo de adquirir los Momentum TW2, y pese a que la caja es preciosa, y no se mancha nada, nunca está de más una funda protectora de la funda (hemos llegado a unos niveles ya....)

La calidad de la bolsa es buena, el tejido es consiste y agradable al tacto. Bien armada para darle protección.
La cremallera funciona a la perfección.

El gran problema que había leído en algunas reseñas, que se quedará pulsado el botón con la cinta que trae para extraerlos, igual la caja de este modelo nuevo es más pequeño, pero no ocurre en absoluto.

Trae un mosquetón para transpórtarlo.

El precio, demasiado elevado, pero ya lo sabes cuando lo compras.",5.0 out of 5 stars
Very protective to the sennheiser case! Recommended!,5.0 out of 5 stars
"Ich kann die schlechten Rezensionen (unnötig, passt nicht, Selbstentladung) absolut nicht nachvollziehen: Ich nutze dieses Etui für meinen TW2. Leider ist der Stoffbezug der Ladehülle nicht gerade unempfindlich, habe unten da schon nach wenigen Tagen kleine Flecken drauf. Daher suchte ich was für die Aufbewahrung der TW2-Ladehülle.

Dieses Case ist dafür perfekt geeignet: es passt (ist auch nicht zu eng, der Taster auf der Rückseite wird nicht gerdrückt - zur Not weitet man das Case vor der ersten Benutzung etwas). Die Ladehülle sitzt auch nicht zu eng, sondern „flutscht“ perfekt in das Etui rein. Die Ausziehhilfe braucht man eigentlich gar nicht.

Außerdem hat man das Ladekabel immer dabei und ich habe noch ein Tile-Tracker eingeklebt, so dass ich das Teil in meiner Umgebung auffinden bzw. den letzten mir bekannten Ort feststellen kann.

Ein Stern Abzug für den etwas hohen Preis. Aber alles in allem sinnvoll und nützlich.",5.0 out of 5 stars
"El mismo artículo en Amazon USA lo entregan con el clip metálico y en Amazon México no lo entregan a pesar de que esta en la fotografía.
El vendedor se excuso diciéndome que el artículo decía ""sin accesorios"" sin embargo los accesorios en las fotografías son claramente los audífonos y el cable (los cuales obvio no están incluidos). En fin tengan cuidado al comprarlo sabiendo esto, Saludos",1.0 out of 5 stars
"Tipp für Unzufriedene:
1. Sie können das Case ein wenig auseinanderdrücken, damit die Schachtel besser reinpasst.
2. ..und wenn es immer noch zu eng ist (Akku-Knopf wird gedrückt), dann drehen Sie die Schachtel auf die Seite (für Ingenieure und schlaue Techniker: um 90° entlang der Längsachse). So kriegen Sie das Case auch zu.",5.0 out of 5 stars
"Dadurch, dass die Kopfhörer sowieso schon so klein sind passt die darum befindliche Ladestation in jede Hosentasche. Wer Angst hat diese zu verlieren, sollte sich immer den gleichen Platz im Rucksack suchen. Das hilft zumindest bei mir. Allerdings sollte ich endlich mal aufhören ständig meine Rucksäcke zu wechseln ;-) Die zwei Sterne gibt es für das ansprechende Design und die Idee. Ich würde so etwas als kleines praktisches Weihnachtsgeschenk ordern. Das wäre wirklich kein Fehler und ideal für Leute die schon alles haben.",2.0 out of 5 stars
"Practica funda para los auriculares sennheiser, protege el estuche de carga, tienen la misma estética y buen precio",5.0 out of 5 stars
Leider verträgt sich das Case nicht mit der Sennheiser Ladeschale ... aufgrund der Bauweise wir der Ladeknopf permanent gedrückt und führt zu Selbstentladung ... Schade,1.0 out of 5 stars
"Arrivata in tempi record.
Ottimo prodotto per proteggere degli auricolari per nulla economici.
Soddisfatto della funzionalità e della qualità.",5.0 out of 5 stars
"Schöne stabile Tasche, perfekt für meine Sennheiser Momentum true wireless in ear Kopfhörer. Schnelle und termingerechte Lieferung.",5.0 out of 5 stars
Excellent ! Parfaitement adapté au chargeur de mes écouteurs sennheiser super pratique avec le petit filet pour ranger le câble de recharge et des embouts de secours aux cas où ! De plus la qualité de fabrication est topissime ! Je l’accroche a ma ceinture grâce au mousqueton ( très solide ) et voilà ! Parer pour de grandes heures d’écoutes,5.0 out of 5 stars
"Ein schönes Gadget zum Schutz des empfindlichen Gehäuses des Sennheiser Momentum True Wireless, leider hat der Reissverschluss nach wenigen Tagen Nutzung versagt und schliesst nicht mehr.",1.0 out of 5 stars
Perfecta,5.0 out of 5 stars
"Etui rigide parfaitement adapté au transport en toute sécurité du boitier de recharge des écouteurs Sennheiser TW (qui en a bien besoin). Le produit et sa fermeture semblent robustes. Seul petit bémol : le clip carabinier qui accompagne le tout est arrivé cassé. Mis à part cela, je suis satisfait de mon achat.",4.0 out of 5 stars
ist eine gute tasche. die Kopfhörer passen problemlos rein,4.0 out of 5 stars
Ottima qualità e stile impeccabile. In perfetta linea con il prodotto a cui si abbinano.,5.0 out of 5 stars
A lire absolument,4.0 out of 5 stars
Die Hülle passt perfekt. Die Qualität ist sehr gut. Sehr zufrieden. Sehr schnelle Lieferung gute Verpackung.,5.0 out of 5 stars
Alles super,5.0 out of 5 stars
Muy Útiles para los auriculares,5.0 out of 5 stars
"Cuesta un poco cerrar, pero hace bien su función.",4.0 out of 5 stars
"La cremallera no cierra, se abre.",1.0 out of 5 stars
